127.0.0.1 - - [22/Apr/2023:22:17:46 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [22/Apr/2023:22:17:54 +0700] "GET /PolyAss/Homepages HTTP/1.1" 200 9722
0:0:0:0:0:0:0:1 - - [22/Apr/2023:22:17:55 +0700] "GET /PolyAss/uploads/VD0987.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2023:22:17:55 +0700] "GET /PolyAss/uploads/%E2%9C%85%20%E2%9A%BD%20WAZAFOOT%20NEWS.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2023:22:17:55 +0700] "GET /PolyAss/uploads/t%E1%BA%A3i%20xu%E1%BB%91ng1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2023:22:17:55 +0700] "GET /PolyAss/uploads/Pin%20page.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2023:22:17:55 +0700] "GET /PolyAss/uploads/t%E1%BA%A3i%20xu%E1%BB%91ng3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2023:22:17:55 +0700] "GET /PolyAss/uploads/t%E1%BA%A3i%20xu%E1%BB%91ng.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2023:22:17:55 +0700] "GET /PolyAss/images/sieuanhhung.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2023:22:17:55 +0700] "GET /PolyAss/uploads/photo-1-16296917135631941768226.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2023:22:17:55 +0700] "GET /PolyAss/uploads/VD99.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2023:22:17:55 +0700] "GET /PolyAss/uploads/VD7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2023:22:17:57 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [22/Apr/2023:22:19:31 +0700] "GET /PolyAss/Login HTTP/1.1" 200 2796
0:0:0:0:0:0:0:1 - - [22/Apr/2023:22:19:35 +0700] "POST /PolyAss/Login HTTP/1.1" 200 10490
0:0:0:0:0:0:0:1 - - [22/Apr/2023:22:19:37 +0700] "GET /PolyAss/admin/detail?videoId=VD1 HTTP/1.1" 200 5711
0:0:0:0:0:0:0:1 - - [22/Apr/2023:22:19:42 +0700] "GET /PolyAss/Homepages HTTP/1.1" 200 10490
0:0:0:0:0:0:0:1 - - [22/Apr/2023:22:19:44 +0700] "GET /PolyAss/admin/detail?videoId=VD0987 HTTP/1.1" 200 5712
